order_id,order_date,product_category,platform,city,customer_age,is_premium_member,unit_price,quantity,discount_pct,shipping_cost,gmv,order_status,review_score,days_to_deliver
ORD100000,2022-06-01,Home & Kitchen,Android App,Surat,33,0,5841.05,3,0,149,17672.15,Processing,5.0,11.0
ORD100001,2022-06-01,Books,iOS App,Mumbai,26,0,287.71,4,5,149,1242.3,Cancelled,5.0,
ORD100002,2022-06-01,Health,iOS App,Bhopal,20,0,617.53,4,30,0,1729.08,Delivered,2.0,11.0
ORD100003,2022-06-02,Fashion,Android App,Kanpur,49,0,2091.97,4,0,99,8466.88,Delivered,4.0,7.0
ORD100004,2022-06-02,Food,Android App,Lucknow,53,0,298.72,1,5,99,382.78,Processing,4.0,4.0
ORD100005,2022-06-03,Books,Android App,Ahmedabad,33,0,432.37,5,5,49,2102.76,Delivered,4.0,6.0
ORD100006,2022-06-03,Food,iOS App,Kanpur,50,0,244.53,2,0,149,638.06,Delivered,2.0,6.0
ORD100007,2022-06-03,Food,Tablet,Hyderabad,33,0,142.4,3,15,149,512.12,Delivered,4.0,11.0
ORD100008,2022-06-04,Fashion,Tablet,Lucknow,28,1,948.48,4,0,99,3892.92,Shipped,5.0,3.0
ORD100009,2022-06-04,Fashion,Android App,Surat,57,1,1970.94,2,0,0,3941.88,Processing,3.0,4.0
ORD100010,2022-06-05,Electronics,Tablet,Surat,42,1,12549.14,4,10,0,45176.9,Delivered,,6.0
ORD100011,2022-06-05,Health,iOS App,Kanpur,18,1,1790.1,3,25,149,4176.72,Delivered,,7.0
ORD100012,2022-06-05,Home & Kitchen,Android App,Bangalore,50,0,5038.02,1,0,149,5187.02,Delivered,4.0,14.0
ORD100013,2022-06-06,Fashion,Web,Delhi,36,0,2127.46,2,10,0,3829.43,Delivered,5.0,4.0
ORD100014,2022-06-06,Health,Tablet,Jaipur,21,0,1628.93,4,0,0,6515.72,Delivered,5.0,13.0
ORD100015,2022-06-07,Home & Kitchen,Web,Nagpur,29,0,4735.07,1,10,99,4360.56,Cancelled,3.0,
ORD100016,2022-06-07,Automotive,Android App,Chennai,32,1,5996.37,2,5,0,11393.1,Delivered,4.0,8.0
ORD100017,2022-06-07,Automotive,Web,Jaipur,19,0,9377.59,3,5,49,26775.13,Delivered,,12.0
ORD100018,2022-06-08,Automotive,Android App,Bhopal,52,1,5698.95,2,30,149,8127.53,Delivered,3.0,5.0
ORD100019,2022-06-08,Health,iOS App,Surat,28,1,579.36,3,10,0,1564.27,Delivered,5.0,4.0
