date,ticker,open,high,low,close,volume,market_cap,pe_ratio,dividend_yield
2022-01-03,ALPHA,97.65,101.25,96.17,98.33,4231095,4480928046.0,20.45,0.0027
2022-01-04,ALPHA,97.82,98.31,96.15,97.2,2332080,4429433601.0,16.43,0.0271
2022-01-05,ALPHA,94.28,94.14,92.41,93.45,3718327,4258544959.0,39.07,0.0249
2022-01-06,ALPHA,93.05,93.76,91.8,92.53,3136220,4216620279.0,37.56,0.0343
2022-01-07,ALPHA,90.57,92.6,88.13,90.81,3185549,4138239355.0,10.21,0.0378
2022-01-10,ALPHA,90.19,90.83,87.86,90.57,722661,4127302482.0,22.06,0.0283
2022-01-11,ALPHA,93.08,93.62,91.04,93.37,556823,4254899335.0,32.05,0.0438
2022-01-12,ALPHA,89.97,92.42,90.67,90.72,3210972,4134138028.0,15.32,0.0321
2022-01-13,ALPHA,93.15,93.46,90.58,92.4,2597141,4210696140.0,10.96,0.0169
2022-01-14,ALPHA,94.71,97.44,94.13,95.2,3183102,4338292992.0,11.09,0.0188
2022-01-17,ALPHA,96.4,97.65,94.87,96.88,1863031,4414851104.0,26.94,0.0429
2022-01-18,ALPHA,97.93,98.78,96.01,97.51,626379,4443560396.0,16.91,0.013
2022-01-19,ALPHA,100.08,101.38,98.16,99.84,1818062,4549739205.0,17.74,0.0071
2022-01-20,ALPHA,101.94,103.87,98.55,101.01,3259885,4603056462.0,10.45,0.0376
2022-01-21,ALPHA,104.05,103.08,101.08,103.06,4917125,4696475586.0,31.78,0.0214
2022-01-24,ALPHA,103.14,103.98,100.8,103.31,2895180,4707868162.0,35.31,0.0113
2022-01-25,ALPHA,102.22,101.65,99.18,101.37,2086837,4619461771.0,32.01,0.0415
2022-01-26,ALPHA,104.46,106.6,101.71,103.52,1885383,4717437926.0,14.09,0.0092
2022-01-27,ALPHA,109.19,108.85,107.75,108.42,217509,4940732418.0,38.72,0.0366
2022-01-28,ALPHA,108.72,110.45,105.19,107.79,1061110,4912023127.0,38.86,0.017
2022-01-31,ALPHA,108.08,109.54,105.26,107.86,1839160,4915213048.0,17.77,0.0356
2022-02-01,ALPHA,107.28,110.65,105.67,108.11,3107505,4926605624.0,39.49,0.0386
2022-02-02,ALPHA,106.05,106.24,104.62,105.29,3037912,4798097365.0,23.33,0.0079
2022-02-03,ALPHA,103.31,105.19,101.37,103.71,1724393,4726096284.0,11.25,0.0412
2022-02-04,ALPHA,105.2,107.37,103.75,104.31,2686126,4753438467.0,27.26,0.0309
2022-02-07,ALPHA,104.2,104.46,102.04,104.16,1222969,4746602921.0,25.8,0.043
2022-02-08,ALPHA,104.21,106.17,102.05,104.23,477714,4749792842.0,35.75,0.0016
2022-02-09,ALPHA,105.0,107.31,102.36,104.31,1527757,4753438467.0,20.67,0.0378
2022-02-10,ALPHA,103.89,104.52,102.4,104.12,924107,4744780109.0,33.0,0.0493
2022-02-11,ALPHA,101.91,105.31,100.93,102.72,2721521,4680981682.0,33.6,0.0351
2022-02-14,ALPHA,104.14,104.41,101.67,103.55,3869890,4718805035.0,11.05,0.0459
2022-02-15,ALPHA,103.76,104.83,104.19,104.2,926463,4748425733.0,30.19,0.0207
2022-02-16,ALPHA,103.29,103.09,101.64,102.58,135479,4674601840.0,24.38,0.0351
2022-02-17,ALPHA,104.23,105.65,103.0,103.37,371772,4710602380.0,16.07,0.0284
2022-02-18,ALPHA,102.02,102.35,101.91,102.24,1229609,4659107936.0,22.51,0.0168
2022-02-21,ALPHA,103.83,104.79,101.7,103.48,911041,4715615114.0,35.72,0.0312
2022-02-22,ALPHA,102.43,105.59,102.73,103.43,4905519,4713336599.0,30.69,0.018
2022-02-23,ALPHA,104.8,104.63,102.54,104.19,1261334,4747970030.0,28.82,0.0475
2022-02-24,ALPHA,104.47,105.25,103.28,104.55,3312633,4764375340.0,12.45,0.0399
2022-02-25,ALPHA,103.99,104.96,103.65,104.48,3509347,4761185418.0,30.0,0.0435
2022-02-28,ALPHA,105.91,105.2,103.8,105.12,1303087,4790350413.0,32.76,0.0318
